track_name,artists,Rank,Year,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
lovesick girls,blackpink,9,2020,1GMufNnkKAnPLnqKJ5HHxW,THE ALBUM,73,192765,False,0.658,0.732,6,-4.762,1,0.0654,0.00513,0.0,0.13,0.409,127.995,4,k-pop
lucky,glee cast,13,2010,4BaEOfLHGeP9gw5ToeiY7a,"Glee: The Music, Volume 4",49,187560,False,0.632,0.468,0,-8.089,1,0.0412,0.541,0.0,0.165,0.669,130.052,4,club
lush life,zara larsson,40,2016,1rIKgCH4H52lrvDcz50hS8,So Good,78,201122,False,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,4,dance
made for you,jake owen,47,2021,7vF3xkCMvZjAe2nTWY0uQZ,Greetings From...Jake,70,238400,False,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,4,country
mafia,travis scott,22,2021,08F16baYbciTva9P4BvpiI,ESCAPE PLAN / MAFIA,72,240000,True,0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,4,house
make you feel my love,adele,49,2021,273QnyCvJB65rScHJ1nPZb,19,77,212040,False,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3,soul
makeba,jain,45,2023,5JdLUE9D743ob2RtgmVpVx,Zanaka,60,249533,False,0.824,0.656,2,-9.432,1,0.0704,0.388,0.506,0.253,0.418,116.068,4,french
maneater,nelly furtado,49,2007,6IpiaVfJdeoGZInxYGt1X3,Happy Haunted Halloween Tunes,1,265426,False,0.799,0.721,6,-5.222,1,0.0508,0.0214,0.000341,0.335,0.66,132.763,4,latin
marry me,thomas rhett,29,2018,0OWZFobGSIW9GrSlQ9C5pc,Life Changes,70,205453,False,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,4,country
marry you,glee cast,31,2010,3IFo5x0HWlvRu0QIAtefor,"Glee: The Music, Volume 4",50,225133,False,0.637,0.768,5,-6.888,1,0.0318,0.0335,7.77e-06,0.161,0.459,144.914,4,club
mary on a cross,ghost,47,2019,2HZLXBOnaSRhXStMLrq9fD,Seven Inches Of Satanic Panic,88,244804,False,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,hard-rock
mask off,future,35,2017,0VgkVdmE4gld66l8iyGjgx,FUTURE,83,204600,True,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4,hip-hop
master of puppets,metallica,35,2022,2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets (Remastered),81,515386,False,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4,hard-rock
masterpiece,motionless in white,37,2022,3c9kVsKF68xMzlS0NikVn3,Scoring The End Of The World,65,206648,False,0.324,0.863,10,-3.716,0,0.123,0.000109,0.0,0.311,0.394,177.985,4,metalcore
me and my broken heart,rixton,38,2014,1oew3nFNY3vMacJAsvry0S,Let The Road,79,193733,False,0.545,0.783,5,-4.261,0,0.0345,0.00489,0.0,0.132,0.551,174.084,4,dance
memories,maroon 5,49,2021,4cktbXiXOapiLBMprHFErI,JORDI (Deluxe),85,189486,False,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,4,pop
mercy,brett young,46,2022,63jfUirW2IkypzR5BYiV8Q,Sad Country Songs,2,217120,False,0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,4,country
mercy,duffy,44,2009,6As27klqzcG7UuZCIoG3CE,De ese gran pop de los 00's,0,220933,False,0.786,0.859,0,-3.744,1,0.0331,0.261,0.00016,0.11,0.964,129.948,4,british
mercy,shawn mendes,17,2017,0AS63m1wHv9n4VVRizK6Hc,Illuminate (Deluxe),82,208733,False,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,4,dance
middle of the night,loveless,17,2022,1Gwu3d6lZjL99kw4dcFCsq,MIDDLE OF THE NIGHT,71,186129,False,0.384,0.938,4,-6.323,0,0.124,0.000236,0.0,0.132,0.163,92.859,3,punk
mikrokosmos,bts,19,2019,0jSccBRnhNU4KtACMQPvco,MAP OF THE SOUL : PERSONA,73,224225,False,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,3,k-pop
million reasons,lady gaga,38,2017,3YL8jLIarQdM1y2oRClov9,Concierto en la ducha,0,205280,False,0.666,0.423,0,-8.012,1,0.0429,0.494,0.0,0.106,0.154,129.893,4,dance
million years ago,adele,28,2015,2qBmtZnPSQouvADmqaHKxk,25,64,227065,False,0.72,0.274,1,-7.623,0,0.0276,0.742,0.0,0.11,0.179,105.929,4,british
mine,bazzi,38,2023,7uzmGiiJyRfuViKKK3lVmR,COSMIC,76,131064,True,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,4,dance
misery business,paramore,50,2008,5ODvKnZslnCF8klu7w0Vcg,Timeless Rock Hits,1,211520,False,0.513,0.906,1,-3.673,1,0.0737,0.00272,8.42e-06,0.113,0.73,173.0,4,emo
miss murder,afi,49,2006,0Ti2dlF2xLjXblvdU5fCxM,DECEMBERUNDERGROUND,72,206586,False,0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,4,emo
mistletoe,justin bieber,39,2022,0GPeyv1Oj1LbqyFJHM3j4C,Holidays Are Coming,2,183066,False,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop
money,lisa,8,2021,45OX2jjEw1l7lOFJfDP9fv,LALISA,78,168227,False,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037,4,k-pop
montero (call me by your name),lil nas x,45,2021,1SC5rEoYDGUK4NfG82494W,MONTERO,83,137704,True,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,4,hip-hop
moon,bts,17,2020,6KhAXXgDtEEahVzATvFNcn,MAP OF THE SOUL : 7,70,208589,False,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,4,k-pop
moonlight,xxxtentacion,36,2019,0JP9xo3adEtGSdUEISiszL,?,83,135090,True,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4,emo
more,j-hope,15,2023,4XKXphKH76W4zNpkgFS5o2,MORE,77,180022,False,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,4,k-pop
more hearts than mine,ingrid andress,48,2020,1x1e7T0TFQP9tv4OJaj5qf,Single Saturday Night - Country Songs,0,214786,False,0.375,0.428,0,-7.387,1,0.029,0.109,0.0,0.105,0.361,78.516,4,country
move along,the all-american rejects,36,2007,58HpsDKeYoLtNhXFQyQmz5,Move Along,61,238880,False,0.526,0.92,3,-3.866,1,0.0472,0.000124,0.0,0.371,0.615,109.86,4,punk-rock
movement,hozier,11,2018,0SFq19lgG4qbQAZaNZ3xhO,"Wasteland, Baby!",62,237800,False,0.381,0.502,1,-5.505,0,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,4,singer-songwriter
mr. brightside,the killers,39,2022,23PvWFdi76vER4p1e2Xroj,Workout Hits 2023,2,223973,False,0.344,0.931,1,-3.759,1,0.0783,0.00104,0.0,0.0903,0.251,148.104,4,alt-rock
mr. crowley,ozzy osbourne,16,2025,2ov8L95QD25TLpZAZPYWXL,Blizzard Of Ozz (40th Anniversary Expanded Edition),66,302647,False,0.307,0.748,2,-6.514,0,0.0568,0.212,0.000153,0.368,0.347,108.227,4,hard-rock
mr. jones,counting crows,46,2022,7HS7bD1nAWG0CzigkPX7vN,Fiesta temática 90s,0,272733,False,0.571,0.836,0,-5.556,1,0.0371,0.194,4.09e-06,0.182,0.73,141.612,4,alt-rock
murder on the dancefloor,sophie ellis-bextor,24,2024,0I1HETHnwPFoxwcgcWvTdB,De ese gran pop de los 00's,0,230013,False,0.735,0.848,1,-5.285,0,0.0308,0.00312,1.15e-05,0.313,0.864,117.317,4,disco
my church,maren morris,33,2017,1LM5zQv5pBKPyO7rm7Uz6U,HERO (Deluxe Edition),69,197930,False,0.517,0.743,9,-4.336,1,0.0363,0.243,3.36e-06,0.107,0.664,76.979,4,country
my future,billie eilish,47,2020,2ygvZOXrIeVL4xZmAWJT2C,my future,72,208155,False,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,4,electro
my girl,the temptations,29,2022,745H5CctFr12Mo7cqa1BMH,The Temptations Sing Smokey,79,165000,False,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,4,funk
my hero,foo fighters,20,2022,4dVbhS6OiYvFikshyaQaCN,The Colour And The Shape,76,260026,False,0.398,0.927,9,-4.212,1,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,4,grunge
my sacrifice,creed,41,2023,2VSbEXqs6NbNiZSTcHlIDR,Weathered,71,294600,False,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4,alt-rock
my songs know what you did in the dark (light em up),fall out boy,44,2021,0xGnsciJBQYbMQUSUAFZkt,Halloween 2022,0,186826,False,0.557,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.566,151.988,4,emo
my time,bts,39,2020,0YJFlxeHMUr9MxSDQVuQJA,MAP OF THE SOUL : 7,72,234457,False,0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91,4,k-pop
my way,calvin harris,50,2016,1vvNmPOiUuyCbgWmtc6yfm,My Way,76,219159,False,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4,electro
n95,kendrick lamar,28,2022,0fX4oNGBWO3dSGUZcVdVV2,Mr. Morale & The Big Steppers,83,195950,True,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,4,hip-hop
nda,billie eilish,35,2021,38GBNKZUhfBkk3oNlWzRYd,Happier Than Ever,77,195776,True,0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016,4,electro
nail tech,jack harlow,39,2022,6MgM415sTN6TUh3B3YlWCW,Internet Sensations,1,206385,True,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,4,hip-hop
narcissist,avery anna,15,2022,3LLezpquftwn7QI1rYIovM,Narcissist,64,154026,False,0.322,0.48,1,-5.989,1,0.0492,0.746,0.0,0.113,0.304,73.476,4,country
natural,imagine dragons,39,2019,2FY7b99s15jUprqC0M5NCT,Origins (Deluxe),82,189466,False,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,4,rock
need to know,doja cat,33,2022,3Vi5XqYrmQgOYBajMWSvCi,Planet Her,84,210560,True,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,4,dance
need you now,glee cast,46,2011,4kEzw2gtpxUBfgmhTEwIuE,"Glee: The Music, Volume 5",45,217413,False,0.55,0.674,4,-5.248,1,0.0277,0.0881,0.0,0.0873,0.248,108.037,4,club
never be the same,camila cabello,45,2018,4eWQlBRaTjPPUlzacqEeoQ,Camila,74,226973,False,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4,dance
never been in love,haley mae campbell,23,2021,3gq98hzXfMGQ5VFIGJ1DoB,Never Been in Love,56,179189,False,0.679,0.742,4,-4.149,1,0.0292,0.121,7.21e-05,0.322,0.869,147.829,4,country
